"Composed name","River basin","Identifier","Names","genus","subfamily","family","suborder","order","subclass","class","subphylum","phylum","kingdom","superkingdom","Cluster"
"LGC_SF1117 Eigenmannia virescens","SF","1117","Eigenmannia virescens","Eigenmannia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92
"LGC_SF1118 Eigenmannia virescens","SF","1118","Eigenmannia virescens","Eigenmannia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92
"LGC_SF1119 Eigenmannia virescens","SF","1119","Eigenmannia virescens","Eigenmannia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92
"LGC_SF1121 Sternopygus macrurus","SF","1121","Sternopygus macrurus","Sternopygus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
"LGC_SF1124 Sternopygus macrurus","SF","1124","Sternopygus macrurus","Sternopygus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
"LGC_SF1129 Crenicichla lepidota","SF","1129","Crenicichla lepidota","Crenicichla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"LGC_SF1130 Crenicichla lepidota","SF","1130","Crenicichla lepidota","Crenicichla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"LGC_SF1135 Pseudoplatystoma corruscans","SF","1135","Pseudoplatystoma corruscans","Pseudoplatystoma","subfamily of Pimelodidae","Pimelodidae","Siluroidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",119
"LGC_SF1136 Acestrorhynchus lacustris","SF","1136","Acestrorhynchus lacustris","Acestrorhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"LGC_SF1141 Pterygoplichthys etentaculatus","SF","1141","Pterygoplichthys etentaculatus","Pterygoplichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_SF1145 Harttia sp","SF","1145","Harttia sp","Harttia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"LGC_SF1147 Pimelodus fur","SF","1147","Pimelodus fur","Pimelodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"LGC_SF1150 Bryconamericus stramineus","SF","1150","Bryconamericus stramineus","Bryconamericus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"LGC_SF1151 Bryconamericus stramineus","SF","1151","Bryconamericus stramineus","Bryconamericus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"LGC_SF1152 Bryconamericus stramineus","SF","1152","Bryconamericus stramineus","Bryconamericus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"LGC_SF1153 Astyanax cf fasciatus","SF","1153","Astyanax cf fasciatus","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"LGC_SF1156 Harttia sp","SF","1156","Harttia sp","Harttia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"LGC_SF1158 Bunocephalus sp","SF","1158","Bunocephalus sp","Bunocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
"LGC_SF1159 Bunocephalus sp","SF","1159","Bunocephalus sp","Bunocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
"LGC_SF1161 Imparfinis minutus","SF","1161","Imparfinis minutus","Imparfinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
"LGC_SF1162 Myleus micans","SF","1162","Myleus micans","Myleus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
